Date,Open,High,Low,Close,Body,Upper Wick,Lower Wick,,Gap,Inside Bar,% Change,,Volume,OBV,Vol SMA(20),,True Range,ATR(14),Hist Vol,BB Upper,BB Middle,BB Lower,,Avg Price,Avg Delta,ROC(5),,SMA(20),SMA(50),SMA(200),EMA(9),EMA(12),EMA(20),EMA(26),EMA(50),EMA(200),,MACD,Signal,MACD Hist,,R3,R2,R1,S1,S2,S3,,Kelt Upper,Kelt Mid,Kelt Lower,,Avg Up,Avg Down,RSI(9),StochRSI %K,StochRSI %D,,Avg Up 14,Avg Down 14,RSI(14),RSI Trend,,Williams %R,CCI,Momentum(10),,Plus DM,Minus DM,Plus DM14,Minus DM14,Plus DI14,Minus DI14,DX,ADX,,Tenkan,Kijun,Senkou A,Senkou B,Chikou,Senkou A+26,Senkou B+26
2025-07-02,1.1802,1.181,1.1747,1.1799,-0.0003,0.0008,0.0052,,-0.0004,0,-0.06,,164090,2137933,178194,,63,86,5.64,1.183,1.1576,1.1321,,1.1785,-14,1.19,,1.1576,,,1.1704,1.167,1.1596,1.1551,,,,0.0119,0.0101,0.0018,,1.1887,1.1856,1.1824,1.1761,1.173,1.1698,,1.1768,1.1596,1.1424,,28.7,7,80.39,92.11,97.37,,29,10.8,72.86,↑,,-8.07,140.46,0.0318,,0,14,314.01,113.92,365.13,132.47,47,29,,1.1642,1.1521,1.1582,,1.1799,1.1582,
2025-07-03,1.1797,1.181,1.1717,1.1757,-0.004,0.0013,0.004,,-0.0002,0,-0.36,,147273,1990660,175825,,93,87,5.93,1.185,1.1591,1.1333,,1.1761,-24,0.47,,1.1591,,,1.1715,1.1683,1.1611,1.1566,,,,0.0117,0.0104,0.0013,,1.1899,1.1853,1.1806,1.1713,1.1667,1.162,,1.1785,1.1611,1.1437,,25.5,10.9,70.05,26.74,72.95,,26.9,13,67.42,↓,,-19.01,107.65,0.026,,0,30,291.58,135.78,335.15,156.07,36,30,,1.1642,1.1521,1.1582,,1.1757,1.1582,
2025-07-04,1.176,1.1788,1.1753,1.1777,0.0017,0.0011,0.0007,,0.0003,1,0.17,,134215,2124875,174337,,35,83,5.56,1.1865,1.161,1.1356,,1.1773,12,0.49,,1.161,,,1.1727,1.1697,1.1627,1.1582,,,,0.0115,0.0106,0.0009,,1.1827,1.181,1.1792,1.1757,1.174,1.1722,,1.1793,1.1627,1.1461,,24.9,9.7,71.97,25.78,48.21,,26.4,12.1,68.57,↑,,-13.8,101.26,0.0255,,0,0,270.75,126.08,326.2,151.9,36,30,,1.1703,1.1572,1.1637,,1.1777,1.1637,
2025-07-07,1.1786,1.179,1.1687,1.1709,-0.0077,0.0004,0.0022,,0.0009,0,-0.58,,142018,1982857,176084,,103,84,6.15,1.1867,1.1625,1.1382,,1.1729,-44,-0.67,,1.1625,,,1.1723,1.1699,1.1635,1.1591,,,,0.0108,0.0106,0.0002,,1.1873,1.1822,1.177,1.1667,1.1616,1.1564,,1.1803,1.1635,1.1467,,22.1,16.2,57.7,0,17.51,,24.5,16.1,60.34,↓,,-31.51,66.81,0.013,,0,66,251.41,183.07,299.3,217.94,16,29,,1.171,1.1589,1.165,,1.1709,1.165,
2025-07-08,1.171,1.1765,1.1682,1.1726,0.0016,0.0039,0.0028,,0.0001,0,0.15,,157879,2140736,176780,,83,84,6.14,1.1868,1.164,1.1412,,1.1724,-5,-0.68,,1.164,,,1.1724,1.1703,1.1644,1.1601,,,,0.0102,0.0105,-0.0003,,1.185,1.1809,1.1767,1.1684,1.1643,1.1601,,1.1812,1.1644,1.1476,,21.5,14.4,59.89,8.94,11.57,,24,15,61.54,↑,,-27.08,57.33,0.0118,,0,5,233.45,174.99,277.92,208.32,14,28,,1.1742,1.1593,1.1668,,1.1726,1.1668,
2025-07-09,1.1721,1.1729,1.169,1.1722,0.0001,0.0007,0.0031,,-0.0005,1,-0.03,,136587,2004149,175640,,39,81,5.97,1.1871,1.1652,1.1432,,1.1714,-10,-0.65,,1.1652,,,1.1724,1.1706,1.1651,1.161,,,,0.0096,0.0103,-0.0007,,1.1776,1.1757,1.1737,1.1698,1.1679,1.1659,,1.1813,1.1651,1.1489,,19.1,13.2,59.13,5.84,4.93,,22.3,14.2,61.1,↓,,-28.72,44.68,0.0062,,0,0,216.77,162.49,267.62,200.6,14,27,,1.1755,1.1593,1.1674,,1.1722,1.1674,
2025-07-10,1.1719,1.175,1.1662,1.1701,-0.0018,0.0031,0.0039,,-0.0003,0,-0.18,,119580,1884569,171560,,88,82,5.36,1.1876,1.1657,1.1439,,1.1704,-10,-0.48,,1.1657,,,1.1719,1.1705,1.1656,1.1617,,,,0.0088,0.01,-0.0012,,1.1835,1.1791,1.1747,1.1659,1.1615,1.1571,,1.182,1.1656,1.1492,,17,14.1,54.66,0,4.93,,20.7,14.7,58.47,↑,,-34.31,34.46,-0.0001,,0,28,201.29,178.88,245.48,218.15,6,26,,1.1746,1.1601,1.1673,,1.1701,1.1673,
2025-07-11,1.1699,1.1714,1.1665,1.1691,-0.0008,0.0015,0.0026,,-0.0002,1,-0.09,,151481,1733088,167249,,49,80,5.23,1.1877,1.1664,1.1451,,1.169,-14,-0.73,,1.1664,1.1466,,1.1713,1.1703,1.1659,1.1622,,,,0.0081,0.0096,-0.0015,,1.1764,1.174,1.1715,1.1666,1.1642,1.1617,,1.1819,1.1659,1.1499,,15.1,13.6,52.61,0,1.95,,19.2,14.4,57.14,↓,,-54.51,20.98,-0.0028,,0,0,186.91,166.1,233.64,207.63,6,25,,1.1746,1.1601,1.1673,,1.1691,1.1673,
2025-07-14,1.167,1.1698,1.1654,1.1666,-0.0004,0.0028,0.0012,,-0.0021,0,-0.21,,119062,1614026,164149,,44,77,5.32,1.1877,1.167,1.1462,,1.1673,-17,-0.37,,1.167,1.1473,,1.1704,1.1697,1.166,1.1625,1.147,,,0.0072,0.0091,-0.0019,,1.1735,1.1713,1.1691,1.1647,1.1625,1.1603,,1.1814,1.166,1.1506,,13.4,14.9,47.35,0,0,,17.8,15.2,53.94,↑,,-68.33,5.07,-0.0122,,0,11,173.56,165.24,225.4,214.6,2,23,,1.1732,1.1602,1.1667,,1.1666,1.1667,
2025-07-15,1.1665,1.1693,1.1593,1.1602,-0.0063,0.0028,0.0009,,-0.0001,0,-0.55,,129826,1484200,161219,,100,79,5.07,1.1867,1.1676,1.1484,,1.1629,-44,-1.06,,1.1676,1.1478,,1.1684,1.1682,1.1654,1.1623,1.1475,,,0.0059,0.0085,-0.0026,,1.1766,1.1716,1.1666,1.1566,1.1516,1.1466,,1.1812,1.1654,1.1496,,11.9,20.4,36.84,0,0,,16.5,18.7,46.88,↓,,-96.2,-35.55,-0.0204,,0,61,161.16,214.44,204,271.44,14,22,,1.1702,1.1602,1.1652,1.1448,1.1602,1.1652,1.1448
